Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Media
3368948043,"18 Apr 2020, 00:01:03",Morning Run,Run,,1847,6.04,189.0,118,false,,,activities/3599951865.fit.gz,0.0,,1847.0,1837.0,6042.7998046875,4.900000095367432,3.2894937992095947,56.10863494873047,53.30860137939453,7.400000095367432,19.700000762939453,18.700000762939453,0.046336136758327484,,,,,189.0,,,,526.0,,,118.0,,,,,,,,,,,,,0.0,,1.0,6200.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,""
3368948053,"22 Apr 2020, 21:20:23",Morning Run,Run,,893,3.11,178.0,35,false,,,activities/3599951900.fit.gz,0.0,,893.0,889.0,3109.5,4.400000095367432,3.4977502822875977,20.984886169433594,22.184900283813477,6.699999809265137,16.5,17.299999237060547,-0.0385914146900177,,,,,178.0,,,,268.0,,,35.0,,,,,,,,,,,,,0.0,,1.0,3182.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,""
3368948084,"24 Apr 2020, 05:51:22",Afternoon Run,Run,,1572,5.03,179.0,75,false,,,activities/3599951913.fit.gz,0.0,,1572.0,1572.0,5032.60009765625,4.300000190734863,3.201399564743042,29.660579681396484,32.26060104370117,7.099999904632568,19.5,18.399999618530273,-0.05166315659880638,,,,,179.0,,,,435.0,,,75.0,,,,,,,,,,,,,0.0,,1.0,5105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,""
3368948114,"26 Apr 2020, 21:20:46",Morning Run,Run,,911,3.17,173.0,29,false,,,activities/3599951949.fit.gz,0.0,,911.0,908.0,3170.10009765625,4.5,3.491299629211426,22.5674991607666,24.167499542236328,7.400000095367432,17.100000381469727,16.200000762939453,-0.05047159269452095,,,,,173.0,,,,272.0,,,29.0,,,,,,,,,,,,,0.0,,1.0,3238.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,""
7744458559,"31 Aug 2022, 21:06:11",Morning Run,Run,,1423,5.00,180.0,76,false,,,activities/8269146445.fit.gz,,,1423.0,1411.0,5006.60009765625,4.671972751617432,3.5482637882232666,25.790416717529297,25.190399169921875,4.199999809265137,17.0,22.804702758789062,0.01198418065905571,,,,,,172.5266876220703,,,450.0,,,76.0,,,,,,,,,,,,,0.0,,1.0,5079.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.5183417797088623,608.0999755859375,,,,,,""
7744458598,"27 Aug 2022, 23:38:21",Morning Run,Run,,1469,5.04,181.0,68,false,,,activities/8269146493.fit.gz,,,1469.0,1462.0,5045.06005859375,4.719995021820068,3.450793504714966,25.43291664123535,24.932899475097656,4.199999809265137,17.0,20.072555541992188,0.009910685010254383,,,,,,168.57699584960938,,,446.0,,,68.0,,,,,,,,,,,,,0.0,,1.0,5108.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.43435001373291,492.70001220703125,,,,,,""
7744458600,"28 Aug 2022, 06:47:56",Afternoon Walk,Walk,,1536,2.39,115.0,4,false,,,activities/8269146474.fit.gz,,,1536.0,1536.0,2397.75,2.919995069503784,1.56103515625,29.261226654052734,28.8612003326416,3.0999999046325684,17.799999237060547,21.72256851196289,0.016682306304574013,,,,,,107.53996276855469,,,159.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.56103515625,976.5,,,,,,""
7744458624,"26 Aug 2022, 23:29:13",Morning Run,Run,,1680,5.10,184.0,71,false,,,activities/8269146538.fit.gz,,,1680.0,1539.0,5100.98974609375,4.41796875,3.314483404159546,25.545833587646484,24.545799255371094,4.199999809265137,17.0,20.341350555419922,0.019604038447141647,,,,,,168.73641967773438,,,465.0,,,71.0,,,,,,,,,,,,,0.0,,1.0,5166.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0363035202026367,497.0,,,,,,""
7744458659,"22 Aug 2022, 02:46:24",Lunch Walk,Walk,,673,0.69,110.0,1,false,,,activities/8269146559.fit.gz,,,673.0,588.0,693.9500122070312,2.231001377105713,1.1801871061325073,6.978282928466797,6.378280162811279,10.100000381469727,17.0,9.077706336975098,0.08646155893802643,,,,,,97.49597930908203,,,63.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.031129240989685,0.0,,,,,,""
7744458682,"25 Aug 2022, 21:12:36",Morning Run,Run,,1714,5.09,177.0,64,false,,,activities/8269146562.fit.gz,,,1714.0,1526.0,5090.42041015625,4.851953029632568,3.3357932567596436,25.80801010131836,25.007999420166016,4.199999809265137,17.0,23.55812644958496,0.015715794637799263,,,,,,165.48416137695312,,,471.0,,,64.0,,,,,,,,,,,,,0.0,,1.0,5159.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.969906806945801,587.4000244140625,,,,,,""
