full_path,score,event_id
/ntfsl/data/fit_processed_data/plots/running_2020-05-30_16-41-19.png,0.5926259,594
/ntfsl/data/fit_processed_data/plots/running_2021-01-07_23-45-29.png,0.0005007075,758
/ntfsl/data/fit_processed_data/plots/running_2019-02-10_17-49-17.png,0.0005007075,239
/ntfsl/data/fit_processed_data/plots/running_2019-04-12_00-08-07.png,0.0005007075,284
/ntfsl/data/fit_processed_data/plots/running_2021-01-18_17-33-19.png,0.0005007075,764
/ntfsl/data/fit_processed_data/plots/running_2019-03-09_16-19-49.png,0.0005007075,259
/ntfsl/data/fit_processed_data/plots/running_2021-01-29_20-34-08.png,0.0005007075,772
/ntfsl/data/fit_processed_data/plots/running_2019-08-21_22-46-51.png,0.0005007075,396
/ntfsl/data/fit_processed_data/plots/running_2019-11-19_00-27-41.png,0.19870308,463
/ntfsl/data/fit_processed_data/plots/running_2020-03-05_00-19-03.png,0.0005007075,536
/ntfsl/data/fit_processed_data/plots/running_2019-11-12_00-42-18.png,0.0005007075,458
/ntfsl/data/fit_processed_data/plots/running_2019-04-15_23-37-02.png,0.0005007075,287
/ntfsl/data/fit_processed_data/plots/running_2019-07-12_23-00-06.png,0.0005007075,365
/ntfsl/data/fit_processed_data/plots/running_2019-08-17_19-55-22.png,0.0005007075,392
/ntfsl/data/fit_processed_data/plots/running_2019-08-22_22-44-22.png,0.0005007075,397
/ntfsl/data/fit_processed_data/plots/running_2021-01-20_23-42-46.png,0.0005007075,766
/ntfsl/data/fit_processed_data/plots/running_2021-05-01_18-00-25.png,0.0005007075,826
/ntfsl/data/fit_processed_data/plots/running_2019-04-04_23-25-38.png,0.0005007075,278
/ntfsl/data/fit_processed_data/plots/running_2019-12-11_22-58-21.png,0.9682866,482
/ntfsl/data/fit_processed_data/plots/running_2020-08-19_12-46-42.png,0.0005007075,660
/ntfsl/data/fit_processed_data/plots/running_2020-02-15_22-58-18.png,0.0005007075,522
/ntfsl/data/fit_processed_data/plots/running_2020-10-13_22-05-22.png,0.0005007075,704
/ntfsl/data/fit_processed_data/plots/running_2019-12-01_17-58-55.png,0.0022566484,477
/ntfsl/data/fit_processed_data/plots/running_2019-06-24_23-18-28.png,0.0005007075,347
/ntfsl/data/fit_processed_data/plots/running_2017-11-23_00-17-08.png,0.0005007075,47
/ntfsl/data/fit_processed_data/plots/running_2019-02-28_12-43-32.png,0.0005007075,254
/ntfsl/data/fit_processed_data/plots/running_2019-06-15_14-02-14.png,0.0005007075,337
/ntfsl/data/fit_processed_data/plots/running_2019-01-06_18-46-10.png,0.0005007075,215
/ntfsl/data/fit_processed_data/plots/running_2019-06-22_14-12-45.png,0.0005007075,345
/ntfsl/data/fit_processed_data/plots/running_2021-03-13_17-31-47.png,0.0005007075,795
/ntfsl/data/fit_processed_data/plots/running_2020-09-17_12-05-04.png,0.0005007075,684
/ntfsl/data/fit_processed_data/plots/running_2018-06-02_12-37-30.png,0.0005007075,113
/ntfsl/data/fit_processed_data/plots/running_2020-03-17_22-39-19.png,0.0012546992,547
/ntfsl/data/fit_processed_data/plots/running_2020-06-07_00-26-57.png,0.6636733,600
/ntfsl/data/fit_processed_data/plots/running_2019-04-27_12-03-08.png,0.0005007075,294
/ntfsl/data/fit_processed_data/plots/running_2018-03-08_13-53-05.png,0.0005007075,91
/ntfsl/data/fit_processed_data/plots/running_2020-02-09_16-47-46.png,0.0005007075,517
/ntfsl/data/fit_processed_data/plots/running_2021-04-24_16-05-20.png,0.0005007075,821
/ntfsl/data/fit_processed_data/plots/running_2021-05-12_22-46-24.png,0.0005007075,830
/ntfsl/data/fit_processed_data/plots/running_2019-05-31_02-14-48.png,0.0005007075,321
/ntfsl/data/fit_processed_data/plots/running_2019-11-17_18-46-16.png,0.0005007075,462
/ntfsl/data/fit_processed_data/plots/running_2020-01-07_00-29-22.png,0.000722734,493
/ntfsl/data/fit_processed_data/plots/running_2017-10-25_23-47-21.png,0.0005007075,29
/ntfsl/data/fit_processed_data/plots/running_2020-10-22_22-55-49.png,0.12660177,711
/ntfsl/data/fit_processed_data/plots/running_2020-07-31_12-45-22.png,0.0005007075,642
/ntfsl/data/fit_processed_data/plots/running_2018-06-20_23-25-15.png,0.0005007075,124
/ntfsl/data/fit_processed_data/plots/running_2019-10-26_16-42-14.png,0.0005007075,448
/ntfsl/data/fit_processed_data/plots/running_2019-07-04_13-53-07.png,0.0005007075,357
/ntfsl/data/fit_processed_data/plots/running_2018-03-22_23-45-32.png,0.0005007075,101
/ntfsl/data/fit_processed_data/plots/running_2020-01-30_00-02-27.png,0.0005007075,508
/ntfsl/data/fit_processed_data/plots/running_2020-02-20_01-06-55.png,0.0005007075,525
/ntfsl/data/fit_processed_data/plots/running_2017-11-30_00-56-04.png,0.0005007075,52
/ntfsl/data/fit_processed_data/plots/running_2021-01-15_20-53-56.png,0.0005007075,762
/ntfsl/data/fit_processed_data/plots/running_2020-08-13_13-25-36.png,0.0005007075,655
/ntfsl/data/fit_processed_data/plots/running_2019-02-28_00-45-11.png,0.0005007075,253
/ntfsl/data/fit_processed_data/plots/running_2018-11-24_19-06-43.png,0.0005007075,194
/ntfsl/data/fit_processed_data/plots/running_2017-10-10_20-50-18.png,0.0005007075,18
/ntfsl/data/fit_processed_data/plots/running_2020-01-25_15-59-50.png,0.0005007075,505
/ntfsl/data/fit_processed_data/plots/running_2018-07-08_18-57-27.png,0.0005007075,133
/ntfsl/data/fit_processed_data/plots/running_2021-02-03_23-29-10.png,0.0005007075,775
/ntfsl/data/fit_processed_data/plots/running_2020-07-03_18-57-28.png,0.49659914,620
/ntfsl/data/fit_processed_data/plots/running_2018-09-30_15-54-57.png,0.0005007075,174
/ntfsl/data/fit_processed_data/plots/running_2018-01-13_15-54-07.png,0.0005007075,69
/ntfsl/data/fit_processed_data/plots/running_2020-11-13_00-08-25.png,0.0005007075,725
/ntfsl/data/fit_processed_data/plots/running_2017-12-17_17-25-06.png,0.41395876,60
/ntfsl/data/fit_processed_data/plots/running_2017-10-28_17-57-53.png,0.30406,31
/ntfsl/data/fit_processed_data/plots/running_2020-12-19_16-05-39.png,0.0005007075,748
/ntfsl/data/fit_processed_data/plots/running_2021-03-08_18-31-24.png,0.0005007075,792
/ntfsl/data/fit_processed_data/plots/running_2019-09-19_23-59-02.png,0.0005007075,419
/ntfsl/data/fit_processed_data/plots/running_2020-06-14_15-15-30.png,0.98484457,606
/ntfsl/data/fit_processed_data/plots/running_2019-08-25_16-35-28.png,0.0005007075,399
/ntfsl/data/fit_processed_data/plots/running_2018-02-24_18-46-58.png,0.0005007075,86
/ntfsl/data/fit_processed_data/plots/running_2020-06-25_11-48-27.png,0.743461,615
/ntfsl/data/fit_processed_data/plots/running_2018-01-16_00-38-39.png,0.0005007075,71
/ntfsl/data/fit_processed_data/plots/running_2021-03-18_22-07-14.png,0.0005007075,797
/ntfsl/data/fit_processed_data/plots/running_2019-05-05_13-40-46.png,0.0005007075,297
/ntfsl/data/fit_processed_data/plots/running_2020-11-30_23-35-45.png,0.0005007075,736
/ntfsl/data/fit_processed_data/plots/running_2020-01-31_00-29-58.png,0.0005007075,509
/ntfsl/data/fit_processed_data/plots/running_2019-08-10_00-10-29.png,0.0005007075,385
/ntfsl/data/fit_processed_data/plots/running_2019-07-20_12-39-47.png,0.0005007075,373
/ntfsl/data/fit_processed_data/plots/running_2020-11-19_23-13-30.png,0.0005007075,729
/ntfsl/data/fit_processed_data/plots/running_2017-10-29_12-30-15.png,0.0005007075,33
/ntfsl/data/fit_processed_data/plots/running_2019-02-13_19-44-29.png,0.0005007075,241
/ntfsl/data/fit_processed_data/plots/running_2018-10-17_22-18-29.png,0.0005007075,180
/ntfsl/data/fit_processed_data/plots/running_2018-08-22_23-20-41.png,0.0005007075,156
/ntfsl/data/fit_processed_data/plots/running_2019-03-30_14-53-01.png,0.0005007075,274
/ntfsl/data/fit_processed_data/plots/running_2018-06-03_16-10-28.png,0.0005007075,115
/ntfsl/data/fit_processed_data/plots/running_2017-10-06_18-10-28.png,0.0005007075,15
/ntfsl/data/fit_processed_data/plots/running_2017-10-22_14-29-43.png,0.0005007075,27
/ntfsl/data/fit_processed_data/plots/running_2018-11-13_00-38-25.png,0.0005007075,190
/ntfsl/data/fit_processed_data/plots/running_2020-07-09_13-21-10.png,0.9208142,625
/ntfsl/data/fit_processed_data/plots/running_2020-01-04_00-55-48.png,0.0005007075,491
/ntfsl/data/fit_processed_data/plots/running_2020-02-23_18-09-00.png,0.0005007075,528
/ntfsl/data/fit_processed_data/plots/running_2018-06-08_00-06-05.png,0.0005007075,116
/ntfsl/data/fit_processed_data/plots/running_2018-07-23_23-36-45.png,0.0005007075,141
/ntfsl/data/fit_processed_data/plots/running_2020-09-27_15-34-11.png,0.0005007075,692
/ntfsl/data/fit_processed_data/plots/running_2018-02-13_00-44-41.png,0.0005007075,85
